debu total,tanggal,hari angka,hari,pukul
12.5,2013-03-01 00:00:00,4,Jumat,0
15.399999999999999,2013-03-01 01:00:00,4,Jumat,1
11.9,2013-03-01 02:00:00,4,Jumat,2
14.0,2013-03-01 03:00:00,4,Jumat,3
10.9,2013-03-01 04:00:00,4,Jumat,4
11.2,2013-03-01 05:00:00,4,Jumat,5
11.7,2013-03-01 06:00:00,4,Jumat,6
10.9,2013-03-01 07:00:00,4,Jumat,7
12.8,2013-03-01 08:00:00,4,Jumat,8
17.4,2013-03-01 09:00:00,4,Jumat,9
14.1,2013-03-01 10:00:00,4,Jumat,10
10.9,2013-03-01 11:00:00,4,Jumat,11
12.5,2013-03-01 12:00:00,4,Jumat,12
23.3,2013-03-01 13:00:00,4,Jumat,13
21.3,2013-03-01 14:00:00,4,Jumat,14
19.4,2013-03-01 15:00:00,4,Jumat,15
22.6,2013-03-01 16:00:00,4,Jumat,16
26.5,2013-03-01 17:00:00,4,Jumat,17
24.0,2013-03-01 18:00:00,4,Jumat,18
23.200000000000003,2013-03-01 19:00:00,4,Jumat,19
25.0,2013-03-01 20:00:00,4,Jumat,20
26.8,2013-03-01 21:00:00,4,Jumat,21
26.5,2013-03-01 22:00:00,4,Jumat,22
27.8,2013-03-01 23:00:00,4,Jumat,23
22.2,2013-03-02 00:00:00,5,Sabtu,0
17.5,2013-03-02 01:00:00,5,Sabtu,1
16.4,2013-03-02 02:00:00,5,Sabtu,2
20.8,2013-03-02 03:00:00,5,Sabtu,3
20.2,2013-03-02 04:00:00,5,Sabtu,4
22.9,2013-03-02 05:00:00,5,Sabtu,5
20.4,2013-03-02 06:00:00,5,Sabtu,6
20.799999999999997,2013-03-02 07:00:00,5,Sabtu,7
19.0,2013-03-02 08:00:00,5,Sabtu,8
27.9,2013-03-02 09:00:00,5,Sabtu,9
37.6,2013-03-02 10:00:00,5,Sabtu,10
35.0,2013-03-02 11:00:00,5,Sabtu,11
47.8,2013-03-02 12:00:00,5,Sabtu,12
53.2,2013-03-02 13:00:00,5,Sabtu,13
57.0,2013-03-02 14:00:00,5,Sabtu,14
64.1,2013-03-02 15:00:00,5,Sabtu,15
82.9,2013-03-02 16:00:00,5,Sabtu,16
102.7,2013-03-02 17:00:00,5,Sabtu,17
112.5,2013-03-02 18:00:00,5,Sabtu,18
126.69999999999999,2013-03-02 19:00:00,5,Sabtu,19
141.6,2013-03-02 20:00:00,5,Sabtu,20
167.5,2013-03-02 21:00:00,5,Sabtu,21
178.0,2013-03-02 22:00:00,5,Sabtu,22
180.10000000000002,2013-03-02 23:00:00,5,Sabtu,23
185.8,2013-03-03 00:00:00,6,Minggu,0
179.9,2013-03-03 01:00:00,6,Minggu,1
185.7,2013-03-03 02:00:00,6,Minggu,2
187.0,2013-03-03 03:00:00,6,Minggu,3
171.0,2013-03-03 04:00:00,6,Minggu,4
159.1,2013-03-03 05:00:00,6,Minggu,5
159.6,2013-03-03 06:00:00,6,Minggu,6
161.60000000000002,2013-03-03 07:00:00,6,Minggu,7
170.5,2013-03-03 08:00:00,6,Minggu,8
184.9,2013-03-03 09:00:00,6,Minggu,9
186.1,2013-03-03 10:00:00,6,Minggu,10
198.2,2013-03-03 11:00:00,6,Minggu,11
207.7,2013-03-03 12:00:00,6,Minggu,12
227.2,2013-03-03 13:00:00,6,Minggu,13
202.5,2013-03-03 14:00:00,6,Minggu,14
172.2,2013-03-03 15:00:00,6,Minggu,15
136.3,2013-03-03 16:00:00,6,Minggu,16
138.5,2013-03-03 17:00:00,6,Minggu,17
138.4,2013-03-03 18:00:00,6,Minggu,18
197.7,2013-03-03 19:00:00,6,Minggu,19
243.2,2013-03-03 20:00:00,6,Minggu,20
199.5,2013-03-03 21:00:00,6,Minggu,21
119.4,2013-03-03 22:00:00,6,Minggu,22
106.0,2013-03-03 23:00:00,6,Minggu,23
95.5,2013-03-04 00:00:00,0,Senin,0
95.5,2013-03-04 01:00:00,0,Senin,1
61.0,2013-03-04 02:00:00,0,Senin,2
36.4,2013-03-04 03:00:00,0,Senin,3
23.0,2013-03-04 04:00:00,0,Senin,4
24.5,2013-03-04 05:00:00,0,Senin,5
27.799999999999997,2013-03-04 06:00:00,0,Senin,6
31.900000000000002,2013-03-04 07:00:00,0,Senin,7
39.6,2013-03-04 08:00:00,0,Senin,8
51.8,2013-03-04 09:00:00,0,Senin,9
34.9,2013-03-04 10:00:00,0,Senin,10
27.3,2013-03-04 11:00:00,0,Senin,11
29.7,2013-03-04 12:00:00,0,Senin,12
24.200000000000003,2013-03-04 13:00:00,0,Senin,13
19.1,2013-03-04 14:00:00,0,Senin,14
23.9,2013-03-04 15:00:00,0,Senin,15
30.0,2013-03-04 16:00:00,0,Senin,16
47.2,2013-03-04 17:00:00,0,Senin,17
56.4,2013-03-04 18:00:00,0,Senin,18
83.0,2013-03-04 19:00:00,0,Senin,19
106.1,2013-03-04 20:00:00,0,Senin,20
124.30000000000001,2013-03-04 21:00:00,0,Senin,21
139.5,2013-03-04 22:00:00,0,Senin,22
143.7,2013-03-04 23:00:00,0,Senin,23
155.3,2013-03-05 00:00:00,1,Selasa,0
169.7,2013-03-05 01:00:00,1,Selasa,1
189.1,2013-03-05 02:00:00,1,Selasa,2
195.2,2013-03-05 03:00:00,1,Selasa,3
197.5,2013-03-05 04:00:00,1,Selasa,4
212.2,2013-03-05 05:00:00,1,Selasa,5
190.60000000000002,2013-03-05 06:00:00,1,Selasa,6
187.4,2013-03-05 07:00:00,1,Selasa,7
197.10000000000002,2013-03-05 08:00:00,1,Selasa,8
212.5,2013-03-05 09:00:00,1,Selasa,9
240.70000000000002,2013-03-05 10:00:00,1,Selasa,10
252.4,2013-03-05 11:00:00,1,Selasa,11
249.6,2013-03-05 12:00:00,1,Selasa,12
236.4,2013-03-05 13:00:00,1,Selasa,13
245.5,2013-03-05 14:00:00,1,Selasa,14
264.5,2013-03-05 15:00:00,1,Selasa,15
284.1,2013-03-05 16:00:00,1,Selasa,16
306.4,2013-03-05 17:00:00,1,Selasa,17
333.3,2013-03-05 18:00:00,1,Selasa,18
359.1,2013-03-05 19:00:00,1,Selasa,19
394.4,2013-03-05 20:00:00,1,Selasa,20
411.6,2013-03-05 21:00:00,1,Selasa,21
416.29999999999995,2013-03-05 22:00:00,1,Selasa,22
403.8,2013-03-05 23:00:00,1,Selasa,23
398.8,2013-03-06 00:00:00,2,Rabu,0
390.8,2013-03-06 01:00:00,2,Rabu,1
355.4,2013-03-06 02:00:00,2,Rabu,2
330.9,2013-03-06 03:00:00,2,Rabu,3
315.9,2013-03-06 04:00:00,2,Rabu,4
316.1,2013-03-06 05:00:00,2,Rabu,5
315.9,2013-03-06 06:00:00,2,Rabu,6
324.4,2013-03-06 07:00:00,2,Rabu,7
344.7,2013-03-06 08:00:00,2,Rabu,8
354.3,2013-03-06 09:00:00,2,Rabu,9
341.4,2013-03-06 10:00:00,2,Rabu,10
368.6,2013-03-06 11:00:00,2,Rabu,11
395.0,2013-03-06 12:00:00,2,Rabu,12
413.5,2013-03-06 13:00:00,2,Rabu,13
413.3,2013-03-06 14:00:00,2,Rabu,14
428.3,2013-03-06 15:00:00,2,Rabu,15
